objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
42125,042125.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42126,042126.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42127,042127.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42128,042128.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42129,042129.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42130,042130.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42131,042131.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42132,042132.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42133,042133.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42134,042134.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42135,042135.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42136,042136.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42137,042137.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42138,042138.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42139,042139.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42140,042140.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42141,042141.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42142,042142.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42143,042143.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42144,042144.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42145,042145.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
